sentimiento,tipo,date,content,rating
negativos,cafe_capsulas,31/05/2016,"El sabor es muy malo, se pierde parte del café, ya que no se llena la taza a los mismos niveles que cuando se usan cápsulas de Nespresso",2
negativos,cafe_capsulas,19/07/2016,"Pues desde un inicio sabía que no era calidad Dolce, que si el precio es competitivo 70/80 pesos vale la pena probarlo aunque su sabor nada espectacular como otras versiones.",2
negativos,cafe_capsulas,13/11/2016,"La caja parecía que ya había sido abierta, pero tenia todas las capsulas. El pedido llego en tiempo forma (al día siguiente).",2
negativos,cafe_capsulas,01/12/2016,"Pagué cinco latas y me llegaron 4. La caja venía bien cerrada con la cinta de Amazon, costó mucho trabajo cortarla. Para mi sorpresa, sólo 4 latas, busqué el mejor precio y me salió un 20% más caro",2
negativos,cafe_capsulas,01/03/2017,"Café Punta del Cielo ha sido una buena marca, he disfrutado sus cafes en plazas comerciales; no obstante, sus cápsulas para Nespresso no saben igual, quedan un poco insípidas y definitivamente nada que ver con las cápsulas originales ni con el Café Punta del Cielo de las plazas.",2
negativos,cafe_capsulas,20/05/2017,"Si funciona sin  problemas en la maquina de cafe doce gusto, sin embargo su sabor no es tan exquisito como las originales.  Pero buen intento.",2
negativos,cafe_capsulas,28/05/2017,"Abrí estas cápsulas y dos meses después, ya no tenían sabor.
Las cápsulas originales de Nesspresso cuestan casi el doble. pero creo que valen más la pena.",2
negativos,cafe_capsulas,02/06/2017,"No me gusto el sabor del café, el sabor no es como el de nespresso y no es muy intenso",2
negativos,cafe_capsulas,20/07/2017,El artículo no especifica que está a punto de caducar. Es importante poner ese dato para que el cliente sepa si le merece la pena comprarlo o no,2
negativos,cafe_capsulas,10/08/2017,"El precio está muy por arriba del que se ofrece en los supermercados y es exactamente el mismo producto, .",2
negativos,cafe_capsulas,14/08/2017,"Es una opcion economica, pero sabe mejor el original de dolche gusto. Adema de tener mas variedad de sabores. Saludos",2
negativos,cafe_capsulas,28/08/2017,"Cuando compré estas cápsulas la primera vez estaba satisfecha ya que funcionó adecuadamente con la máquina Dolce gusto, y considero que el sabor del café es mejor.  Sin embargo más de la mitad de las veces se derrama el agua por los lados de la cafetera y no se completa ni una taza. El control de calidad no es adecuado ya que debe existir un error en el tamaño de la cápsula.  No vale la pena comprarlas ya que hay que tirar la mitad a la basura",2
negativos,cafe_capsulas,29/08/2017,Es muy flaco el café y el sabor un poco raro para mi. No recomiendo la compra deste producto mismo por el precio que es bueno.,2
negativos,cafe_capsulas,10/10/2017,"Cuando las usé yo, en efecto, el sabor no es igual. La ""compatibilidad"" varía de acuerdo a la máquina. No le queda a todas. ...Nespresso es ""buena marca"" y el café es ""de calidad"". Obviamente, Punta del Cielo jamás le llegará a Nespresso. Vaya, el que sean cápsulas compatibles no significa que el contenido sea igual.
Y lo ves desde la etiqueta. Café express? O café Expresso, como escriben muchos? Tache. Si pagas por esto, esperando buen café, te equivocaste.",2
negativos,cafe_capsulas,26/10/2017,Ácido y sin cuerpo.  Además  las cápsulas dejan salir el aroma del café y hay que ejercer presión para que la máquina nesspresso rompa la cápsula.,2
negativos,cafe_capsulas,19/03/2018,"Quede sorprendido se supone es café punta del cielo región Chiapas el café resulto sin sabor y como decía mi abuelita ""Sabe a agua de calcetín"" ni hablar lo barato salió caro.",2
negativos,cafe_capsulas,19/04/2018,"La tapa muy débil, se unde un poco con la Dolce más pequeño y se mancha con gotas de agua, hay que tallar ligeramente para que no se rompa. Las capsulas dentro bailan. Muy desepcionado. Para las capsular hay una que se cuelga en la pared y no distorba.",2
negativos,cafe_capsulas,22/04/2018,El producto queda perfecto en las maquinas Dolce*gusto pero saben horrible. No lo compraré nuevamente y por lo tanto no lo recomiendo.,2
negativos,cafe_capsulas,12/06/2018,Tenía muchas expectativas pero me decepcionaron. El café sabe quemado. Da como para una taza pequeña. No las compraré de nuevo.,2
negativos,cafe_capsulas,18/07/2018,"El producto es bueno, sin embargo, dice en la descripción que es compatible, cuando lo puse en mi maquina era mas grande por lo cual no cerraba.",2
negativos,cafe_capsulas,26/07/2018,"No es la misma medida de las capsulas, le queda un poco grande, pongo las capsulas y las que quedan en la parte superior se caen al girar o ponerlo.

Tiene un bonito diseño; pero no es funcional por la medida.",2
negativos,cafe_capsulas,08/09/2018,No tiene el mismo sabor que una cápsula original y tapan las máquinas de Nespresso. No lo recomiendo mucho si quieren cuidar su maquin a,2
negativos,cafe_capsulas,25/09/2018,es un Expresso  y el resultadop es pero que un café americano,2
negativos,cafe_soluble,26/09/2018,"El pedido llegó muy rápido pero el café no tiene aroma ni sabor, indica que es intenso pero se deben poner demasiadas cucharadas para tener un atisbo muy ligero de sabor. La presentación es bonita pero nada más",2
negativos,cafe_grano,27/09/2018,"Viejo, probablemente mas de 7 meses de empacado. Muy Acido.  Después de experimentar por un tiempo, decidí no terminar la bolsa y empezar con otra marca.
No lo compraría de nuevo.",2
negativos,cafe_molido,27/09/2018,"Viejo, probablemente mas de 7 meses de empacado. Muy Acido.  Después de experimentar por un tiempo, decidí no terminar la bolsa y empezar con otra marca.
No lo compraría de nuevo.",2
negativos,cafe_capsulas,29/09/2018,no esta bueno el sabor de cafe,2
negativos,cafe_molido,01/10/2018,"Compré este café creyendo que sería un buen producto, y a lo mejor sí lo es, pero yo recibí un paquete quizá ya con mucho tiempo de haber sido empacado, por lo que había perdido muchas de sus cualidades. Ojalá que cuiden más ese aspecto, porque aunque tiene caducidad como hasta el 2021, la verdad es que si ya tiene más de un mes de haber sido tostado, no vale la pena consumirlo.",2
negativos,cafe_soluble,20/10/2018,"El pedido llegó en tiempo y forma. sólo que siento que le falta mucho sabor al café , está muy ligero.",2
negativos,cafe_capsulas,05/11/2018,"Se necesitan 2 cápsulas para preparar un buen café por lo cual un café te sale más caro que uno con una cápsula original.

El sabor es muy similar a un café soluble, no me gusto.",2
negativos,cafe_molido,07/11/2018,"Unos granos vienen demasiado tostados, amargando el resultado. Una verdadera lástima",2
negativos,cafe_molido,24/11/2018,"No es por mucho el mejor café que allá probado, le falta mucho cuerpo y aroma",2
negativos,cafe_capsulas,27/11/2018,"El café de punta del cielo siempre ha sido de mis favoritos, y aplaudo el hecho de que sean compostables, pero creo que primero deben garantizar el funcionamiento, mis 2 estrellas son debido a:

- Las cápsulas se atoran frecuentemente en la máquina (50% de las veces aprox)
- Las cápsulas tienen un mal flujo de agua y atascan la bomba (20% de las veces)

Estos 2 problemas quitan una de las mayores ventajas del café de cápsula, la simplicidad de presionar un botón y tener un café, y en el peor de los casos, terminas desperdiciando una cápsula",2
negativos,cafe_capsulas,28/11/2018,No me gustó el café,2
negativos,cafe_capsulas,23/12/2018,No cumplió con mis expectativas contra Nesspreso,2
negativos,cafe_capsulas,02/01/2019,ni me gusto el sabor del café creo que no vale el precio ya que es de baja calidad,2
negativos,cafe_soluble,03/01/2019,"A pesar de anunciarse como el café insignia de la Parroquía, es un café muy convencional, aroma pobre, nada diferente al que puedas comprar en un oxxo . Terminé regalándolo",2
negativos,cafe_capsulas,06/01/2019,Ni el sabor me gustó,2
negativos,cafe_capsulas,06/01/2019,"No repito este producto, baja calidad y sabor pesimo",2
negativos,cafe_capsulas,25/01/2019,"Lamentablemente no saben, tenía la esperanza de poder usar otras cápsulas que no sean las Nestlé pero fue una decepción. Hasta los expresos quedan aguados. Parece café viejo que perdió ya su aroma y sabor.",2
negativos,cafe_capsulas,25/01/2019,"Lamentablemente no saben, tenía la esperanza de poder usar otras cápsulas que no sean las Nestlé pero fue una decepción. Hasta los expresos quedan aguados. Parece café viejo que perdió ya su aroma y sabor.",2
negativos,cafe_grano,26/01/2019,"El aroma que libera al abrir la bolsa por primera vez sube las expectativas de uno, este aroma se hace presente cada vez que se abre el empaque. De verdad pensaba que me había llegado café de calidad y con un tueste fresco. Vaya error...
Claramente se recomienda al reverso usar un método pour over, así lo hice. El ""bloom"" de este café duro menos de dos segundos, hecho que habla de un grano viejo, seguro con más de 5 meses empaquetado. El sabor, pues de un café viejo, amargo a pesar de una correcta extracción, sin notas profundas y con un sabor de boca astringente.
Si eres quienes ha invertido en un molino y has llenado tu alacena de v60s, prensas francesas, chemex, filtros, etc, este café no es para ti. En ningún lado viene la fecha de tostado. Realmente es una pena. He de decir que la mejor parte de hacer este café era abrir su empaque y disfrutar de ese aroma que se disipaba por toda la habitación y solo generaba falsas esperanzas para la taza.",2
negativos,cafe_capsulas,09/02/2019,"El café tiene buen sabor, pero el tipo de molido no es el adecuado para las máquinas Nespresso, sale demasiado aguado sin cuerpo. Y mas importante las capsulas no funcionan adecuadamente en mi Nespresso Expert, con frecuencia se quedan atoradas dentro de la máquina. Hasta que no mejoren tanto el molido, como el diseño de la capsula, No lo volvería a comprar y no las recomiendo.",2
negativos,cafe_soluble,22/02/2019,"Esperaba un sabor fuerte y un aroma profundo todo lo contrario, el sabor es muy pero muy suave al igual que el color el aroma no se percibe al mezclarlo conozco varios tipos de cafe y este me quedo a deber ni modo.",2
negativos,cafe_grano,14/03/2019,El grano puede ser un inconveniente debido a la cantidad de grasa,2
negativos,cafe_molido,14/03/2019,El grano puede ser un inconveniente debido a la cantidad de grasa,2
negativos,cafe_capsulas,16/03/2019,El sabor no es al que me tiene acostumbrado punta del cielo. No me gusto,2
negativos,cafe_capsulas,20/03/2019,Buen cafe intensidad baja.. me esperaba algo mas cargado para mi expreso.,2
negativos,cafe_grano,24/03/2019,"trate de prepararlo de diferentes formas y siempre resulto en un sabor malo, dice tueste obscuro pero para mi que casi lo hacen carbon XD, no es para nada bueno",2
negativos,cafe_molido,24/03/2019,"trate de prepararlo de diferentes formas y siempre resulto en un sabor malo, dice tueste obscuro pero para mi que casi lo hacen carbon XD, no es para nada bueno",2
negativos,cafe_capsulas,25/03/2019,Mal sabor,2
negativos,cafe_soluble,01/04/2019,Tiene el sabor muy tenue y apenas se distingue.,2
negativos,cafe_capsulas,26/04/2019,"El café está muy bueno como lo mencionan otras opiniones. El problema es el empaque. La bolsa que contiene las cápsulas parece muy chica para las 12 cápsulas. Dos cápsulas llegaron rotas, por lo que tuve que tirarlas. Me pude dar cuenta que el producto venia mal porque se alcanzaba a ver, sin abrirlo, que había café derramado sobre las demás cápsulas. Por políticas de Amazon no pude devolver el artículo.",2
negativos,cafe_capsulas,07/05/2019,No me gusto el sabor,2
negativos,cafe_grano,28/05/2019,"El precio es el correcto si el café estuviera en su punto, pero me imagino que ya lleva algunos días almacenado y su sabor es muy débil y está seco. Creo que tiene potencial si estuviera fresco, también no se si tuve mala suerte y me llego uno así. Le doy 2 estrellas porque si es un café bebible pero no es bueno",2
negativos,cafe_capsulas,03/06/2019,No funciono en cafetera dolce gusto,2
negativos,cafe_capsulas,05/06/2019,"Es una lástima, se nota que son buenos materiales pero están ensamblados de una manera muy pobre. las partes metálicas que sostienen los cartuchos están descuadradas y más justas en unas partes que en otras. Además cuando giras el producto para buscar un cartucho se nota fuera de eje y se inclina hacia ciertos lados.
No sé merece una estrella, pero definitivamente no más de 2, sobre todo por el precio que pagué.",2
negativos,cafe_capsulas,29/06/2019,Carajillos,2
negativos,cafe_soluble,09/07/2019,Que tengan mas cuidado al empacar y al transportar lo de vidrio y liquidosor porque llegan rotos,2
negativos,cafe_soluble,10/07/2019,"El café suena llamativo por el renombre que tiene a nivel nacional la parroquia sin embargo dista mucho de un café de calidad, su sabor es muy semejante al de un café común y corriente por lo cual no justifica su precio, pueden encontrar más en marcas como punta del cielo, solo Dios e inclusive en la cama Reserva de Nescafé, no lo recomiendo.",2
negativos,cafe_soluble,10/07/2019,"Me mandaron producto caducado, aun asi me lo tome y sabe bueno el maldito pero eso de mandar caducados no esta chévere.",2
negativos,cafe_soluble,26/07/2019,"Me gustó lo que no debí de ver la presentación y el hecho que dice Orgánico.
No me gustó nada del producto sabe a café viejo no tiene cuerpo sabor tienes que usar mucho producto en la taza para sentir un mejor sabor, horrible de Orgánico no tiene nada para nada lo recomendaría es un timo.",2
negativos,cafe_capsulas,07/08/2019,Aun no recibo mi pedido programado para el 16 de julio sigo sin recibirlo ?????,2
negativos,cafe_soluble,11/08/2019,La compra estuvo bien llegó a tiempo y todo.. sin embargo el sabor dejó mucho que desear.. no me gusto :(,2
